t;U;V;Lx;β;δ;v;Q;ΔT;I;μ;g0;g;fMFT
1.0;5.5;1.2;30;100.0;0.1;Dict("ΔS" => -5.019318889459782e-5, "Δs" => -0.000823764560707836, "gS" => 0.3954926454245401);Dict("ΔS" => -5.019318889459782e-5, "Δs" => -0.000823764560707836, "gS" => 0.3954926454245401);1.306166948;20;0.305238834253402;0.2;0.2;-1.58228110706643
1.0;5.5;1.4;30;100.0;0.1;Dict("ΔS" => 6.609648489256182e-5, "Δs" => 0.000879331833859827, "gS" => 0.39548903413141223);Dict("ΔS" => 6.609648489256182e-5, "Δs" => 0.000879331833859827, "gS" => 0.39548903413141223);3.031020213;43;0.289555361799221;0.2;0.2;-1.58227720540361
1.0;5.5;1.6;30;100.0;0.1;Dict("ΔS" => 0.03768893659164173, "Δs" => 0.00533247494343967, "gS" => 0.39532126838072473);Dict("ΔS" => 0.9966641994563485, "Δs" => 0.1408176379442301, "gS" => 0.008876658365297718);20.524084124;247;0.2739064503622434;0.2;0.15000000000000002;-1.5816391630323516
1.0;5.5;1.8;30;100.0;0.1;Dict("ΔS" => 0.6141946353693575, "Δs" => 0.07156914647407572, "gS" => 0.35923652224516195);Dict("ΔS" => 0.9619440122872192, "Δs" => 0.07773190421564435, "gS" => 0.119897161472593);12.549997356;164;0.2626020843182552;0.2;0.15000000000000002;-1.4367478387889538
1.0;5.5;2.0;30;100.0;0.1;Dict("ΔS" => 0.9306741548121001, "Δs" => 0.08701119000173935, "gS" => 0.32438822995635463);Dict("ΔS" => 0.9396379396992005, "Δs" => 0.043882170044806657, "gS" => 0.21506860800013516);2.768028617;47;0.25255420046704696;0.2;0.15000000000000002;-1.2973594153820758
1.0;6.0;1.0;30;100.0;0.1;Dict("ΔS" => 0.0010676001952428348, "Δs" => 0.00016007719071668656, "gS" => 0.39549553161132256);Dict("ΔS" => 0.9980394556889074, "Δs" => 0.14964656283889907, "gS" => 0.002678228681163297);5.750226927;82;0.3209368271158405;0.2;0.15000000000000002;-1.582284392509595
1.0;6.0;1.2;30;100.0;0.1;Dict("ΔS" => 0.0018498174561855081, "Δs" => 0.0002730054132733371, "gS" => 0.3954919427784156);Dict("ΔS" => 0.9821884032368617, "Δs" => 0.1449551253363291, "gS" => 0.00043958613155092863);5.511246216;68;0.3052387236089087;0.2;0.15000000000000002;-1.5822805517789613
1.0;6.0;1.4;30;100.0;0.1;Dict("ΔS" => 0.0040253537640011225, "Δs" => 0.0005844096686354933, "gS" => 0.39548658883372984);Dict("ΔS" => 0.9771879616794618, "Δs" => 0.14186703490215014, "gS" => 0.0015264554026339638);7.32535784;103;0.2895559220069328;0.2;0.15000000000000002;-1.5822711037074724
1.0;6.0;1.6;30;100.0;0.1;Dict("ΔS" => 0.036402758738075844, "Δs" => 0.005192804037582035, "gS" => 0.3953319444716731);Dict("ΔS" => 0.9980562900609585, "Δs" => 0.14219487179337273, "gS" => 0.008610595141067545);18.512586787;257;0.2739068319457659;0.2;0.15000000000000002;-1.5816813845242421
1.0;6.0;1.8;30;100.0;0.1;Dict("ΔS" => 0.6129409361768834, "Δs" => 0.07268222277600397, "gS" => 0.3593451000282423);Dict("ΔS" => 0.9635387637235704, "Δs" => 0.08071040615698077, "gS" => 0.11988580873523169);13.484386487;165;0.2630169581361394;0.2;0.15000000000000002;-1.4371850386124863
1.0;6.0;2.0;30;100.0;0.1;Dict("ΔS" => 0.9302530516464066, "Δs" => 0.08914774658749827, "gS" => 0.3243978102906847);Dict("ΔS" => 0.9555400154080962, "Δs" => 0.047250208714127995, "gS" => 0.21774937152840845);2.90140358;47;0.253540282553908;0.2;0.15000000000000002;-1.2973941246797416
