# U, t, Lx, β, δ, m, Q, ΔT [calculated @ 2025-08-07T11:47:41.273]
1.0,1.0,32.0,Inf,0.2,1.96243799295363e-5,0.7479167208272928,0.100392973
1.0,1.0,32.0,Inf,0.25,1.6264952908507735e-5,0.9122590040001073,0.081113855
1.0,1.0,32.0,Inf,0.3,9.844668119974609e-6,0.8212697881312001,0.079194093
1.0,1.0,32.0,Inf,0.35,6.563635768322871e-6,0.8050489016025054,0.072001458
1.0,1.0,32.0,Inf,0.4,4.278995830856239e-6,0.8039800635517751,0.065243151
1.0,1.0,32.0,Inf,0.45,2.141615723492797e-6,0.6478645062434205,0.059604375
1.0,1.0,32.0,Inf,0.5,0.0,0.0,0.003269803
1.0,1.0,64.0,0.1,0.0,2.0925122780086585e-6,0.8193939491365416,0.334610674
1.0,1.0,64.0,0.1,0.05,1.8718041843885081e-6,0.7364647965787584,0.319508495
1.0,1.0,64.0,0.1,0.1,1.6118356634078352e-6,0.6501226786257841,0.317597747
1.0,1.0,64.0,0.1,0.15,1.329763897852486e-6,0.5617934461769611,0.340247996
1.0,1.0,64.0,0.1,0.2,2.0416770031159728e-6,0.9258417142223058,0.300909092
1.0,1.0,64.0,0.1,0.25,1.50584731813596e-6,0.7549757404573482,0.319997602
1.0,1.0,64.0,0.1,0.3,1.0206783144259652e-6,0.587987105739553,0.325911519
1.0,1.0,64.0,0.1,0.35,1.2046936682531807e-6,0.8423321767921594,0.317793813
1.0,1.0,64.0,0.1,0.4,5.856022882171802e-7,0.5429006658141061,0.326619238
1.0,1.0,64.0,0.1,0.45,3.541964509694105e-7,0.5188731522184696,0.309857479
1.0,1.0,64.0,0.1,0.5,0.0,0.0,0.025961461
1.0,1.0,64.0,1.0,0.0,1.7845787507140898e-5,0.700677981625679,0.433998384
1.0,1.0,64.0,1.0,0.05,1.5560344218126506e-5,0.6174134884065071,0.436956986
1.0,1.0,64.0,1.0,0.1,1.9669296395954303e-5,0.8239299074480396,0.42577562
1.0,1.0,64.0,1.0,0.15,1.3018587735045788e-5,0.6015297035131781,0.447939904
1.0,1.0,64.0,1.0,0.2,1.303446311419207e-5,0.6946501934071176,0.367563388
1.0,1.0,64.0,1.0,0.25,1.196285135018406e-5,0.7706811986845358,0.331969704
1.0,1.0,64.0,1.0,0.3,1.012343595975155e-5,0.8308757143785896,0.320475478
1.0,1.0,64.0,1.0,0.35,7.772883158478589e-6,0.8674126646101895,0.302326228
1.0,1.0,64.0,1.0,0.4,5.057724815249694e-6,0.8436794422727069,0.28704263
1.0,1.0,64.0,1.0,0.45,2.1833930705521534e-6,0.6503532829908252,0.256555355
1.0,1.0,64.0,1.0,0.5,0.0,0.0,0.018703835
1.0,1.0,64.0,10.0,0.0,0.00019841900806703293,0.9865288125611587,0.920275783
1.0,1.0,64.0,10.0,0.05,0.00013156977077762123,0.8484349942964241,0.814478749
1.0,1.0,64.0,10.0,0.1,5.618841376420797e-5,0.8364231515322145,0.568564535
1.0,1.0,64.0,10.0,0.15,3.113274175710025e-5,0.9142382051874646,0.448518977
1.0,1.0,64.0,10.0,0.2,1.7787109828382704e-5,0.8408236784619144,0.402042882
1.0,1.0,64.0,10.0,0.25,9.811269204951592e-6,0.6897966708514639,0.339630072
1.0,1.0,64.0,10.0,0.3,6.5293334777696706e-6,0.6710820127102318,0.320620447
1.0,1.0,64.0,10.0,0.35,4.5801032308854294e-6,0.7016884922876329,0.303067727
1.0,1.0,64.0,10.0,0.4,2.9527412020391984e-6,0.7181229604441374,0.28384667
1.0,1.0,64.0,10.0,0.45,1.3128586759435154e-6,0.5920414241871396,0.252076668
1.0,1.0,64.0,10.0,0.5,0.0,0.0,0.017449806
1.0,1.0,64.0,50.0,0.0,0.03822923067665973,0.9538388439634532,1.086491074
1.0,1.0,64.0,50.0,0.05,0.00024169179333130566,0.9821454005472704,1.032876981
1.0,1.0,64.0,50.0,0.1,4.407878493637639e-5,0.7677779422995127,0.560084977
1.0,1.0,64.0,50.0,0.15,2.5465008745059853e-5,0.796068900775617,0.454404137
1.0,1.0,64.0,50.0,0.2,1.6634814645773417e-5,0.8064943398051181,0.385717725
1.0,1.0,64.0,50.0,0.25,9.518354441359415e-6,0.6783796035483297,0.351874152
1.0,1.0,64.0,50.0,0.3,6.419430110528252e-6,0.6657942640587529,0.311441984
1.0,1.0,64.0,50.0,0.35,4.528459965542959e-6,0.6987509119866492,0.296889221
1.0,1.0,64.0,50.0,0.4,2.92788277044884e-6,0.7165146800318539,0.27829046
1.0,1.0,64.0,50.0,0.45,1.3021670388528301e-6,0.5912846130564138,0.248791133
1.0,1.0,64.0,50.0,0.5,0.0,0.0,0.021200816
1.0,1.0,64.0,Inf,0.0,0.06352009498605728,0.8862566093530144,0.761682133
1.0,1.0,64.0,Inf,0.05,0.00017944460581305186,0.8584197867450436,0.946077282
1.0,1.0,64.0,Inf,0.1,4.2146350979872945e-5,0.7416970345446552,0.511297889
1.0,1.0,64.0,Inf,0.15,2.5231943875857318e-5,0.7914524765246502,0.42093523
1.0,1.0,64.0,Inf,0.2,1.6509765342089323e-5,0.8038842585102856,0.37059209
1.0,1.0,64.0,Inf,0.25,9.475500594687149e-6,0.676914792692076,0.319773936
1.0,1.0,64.0,Inf,0.3,6.404532721095338e-6,0.6659458339938445,0.299740907
1.0,1.0,64.0,Inf,0.35,4.478284489501516e-6,0.6960841468984824,0.272018805
1.0,1.0,64.0,Inf,0.4,2.914859193154212e-6,0.7146127456937669,0.258638703
1.0,1.0,64.0,Inf,0.45,1.311200107980585e-6,0.5906945591516299,0.233208553
1.0,1.0,64.0,Inf,0.5,0.0,0.0,0.017892595
1.0,1.0,128.0,0.1,0.0,2.0938697327693243e-6,0.8195112222359585,1.29433813
1.0,1.0,128.0,0.1,0.05,1.8661111726814737e-6,0.7359721136831546,1.196369192
1.0,1.0,128.0,0.1,0.1,1.5996642328278563e-6,0.6490615490590735,1.250576024
1.0,1.0,128.0,0.1,0.15,1.3122959700098191e-6,0.560250471625704,1.319238209
1.0,1.0,128.0,0.1,0.2,2.0010912711974713e-6,0.922437454163818,1.230093549
1.0,1.0,128.0,0.1,0.25,1.4621223889076856e-6,0.7512194433921091,1.247699842
1.0,1.0,128.0,0.1,0.3,9.780885346639634e-7,0.5842167653659881,1.31261233
1.0,1.0,128.0,0.1,0.35,1.132249922601044e-6,0.8362150470737783,1.256207641
1.0,1.0,128.0,0.1,0.4,5.311695418949725e-7,0.5381117065604343,1.335966312
1.0,1.0,128.0,0.1,0.45,2.954661344550169e-7,0.513965155867941,1.228131316
1.0,1.0,128.0,0.1,0.5,0.0,0.0,0.112975895
1.0,1.0,128.0,1.0,0.0,1.7907416897247928e-5,0.7023141450028557,1.667965452
1.0,1.0,128.0,1.0,0.05,1.5296885474616035e-5,0.6103374621123926,1.779237516
1.0,1.0,128.0,1.0,0.1,1.8880769853871172e-5,0.8021711159438989,1.955714356
1.0,1.0,128.0,1.0,0.15,2.0698054269441074e-5,0.9801540699742819,1.668991288
1.0,1.0,128.0,1.0,0.2,1.186853424385701e-5,0.6561982227368522,1.489152841
1.0,1.0,128.0,1.0,0.25,1.0650311689356824e-5,0.72199924841397,1.552743017
1.0,1.0,128.0,1.0,0.3,8.83144582999302e-6,0.7759793821319813,1.446809458
1.0,1.0,128.0,1.0,0.35,6.638777395595393e-6,0.8116116201498098,1.353557395
1.0,1.0,128.0,1.0,0.4,4.18588850150838e-6,0.7939359370661357,1.295951883
1.0,1.0,128.0,1.0,0.45,1.6731733574955398e-6,0.6169254554289908,1.029222804
1.0,1.0,128.0,1.0,0.5,0.0,0.0,0.072501456
1.0,1.0,128.0,10.0,0.0,0.0001952819500215889,0.9432203988392893,3.823330008
1.0,1.0,128.0,10.0,0.05,0.00011245253917256041,0.863101848244031,2.984022372
1.0,1.0,128.0,10.0,0.1,5.2352400523356115e-5,0.9580159170071563,2.0905694
1.0,1.0,128.0,10.0,0.15,1.969184043369895e-5,0.6669310369229545,1.788763381
1.0,1.0,128.0,10.0,0.2,1.3283202199069259e-5,0.702245743261084,1.539096083
1.0,1.0,128.0,10.0,0.25,7.83068952423892e-6,0.6102437055073422,1.312243045
1.0,1.0,128.0,10.0,0.3,5.383165793180274e-6,0.6143900148873898,1.237372398
1.0,1.0,128.0,10.0,0.35,3.817610181767916e-6,0.6572032463112237,1.202630635
1.0,1.0,128.0,10.0,0.4,2.4296853263494982e-6,0.6834886449086456,1.118215492
